"No.","Time","Source","Destination","Protocol","Length","Stream index","HID Data","Info"
"477","2026-06-12 20:24:28.942059","3.12.1","host","USB","72","","0000130000000000","URB_INTERRUPT in"
"511","2026-06-12 20:24:29.030057","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"569","2026-06-12 20:24:29.174054","3.12.1","host","USB","72","","0000080000000000","URB_INTERRUPT in"
"593","2026-06-12 20:24:29.238055","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"659","2026-06-12 20:24:29.406053","3.12.1","host","USB","72","","0000060000000000","URB_INTERRUPT in"
"695","2026-06-12 20:24:29.494050","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"741","2026-06-12 20:24:29.614049","3.12.1","host","USB","72","","0000040000000000","URB_INTERRUPT in"
"771","2026-06-12 20:24:29.686054","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"827","2026-06-12 20:24:29.830045","3.12.1","host","USB","72","","0000110000000000","URB_INTERRUPT in"
"855","2026-06-12 20:24:29.902048","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"953","2026-06-12 20:24:30.158043","3.12.1","host","USB","72","","2000000000000000","URB_INTERRUPT in"
"1027","2026-06-12 20:24:30.350038","3.12.1","host","USB","72","","20002f0000000000","URB_INTERRUPT in"
"1085","2026-06-12 20:24:30.494036","3.12.1","host","USB","72","","2000000000000000","URB_INTERRUPT in"
"1099","2026-06-12 20:24:30.526040","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"1197","2026-06-12 20:24:30.774033","3.12.1","host","USB","72","","00000f0000000000","URB_INTERRUPT in"
"1225","2026-06-12 20:24:30.846034","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"1285","2026-06-12 20:24:30.998028","3.12.1","host","USB","72","","0000120000000000","URB_INTERRUPT in"
"1307","2026-06-12 20:24:31.054028","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"1345","2026-06-12 20:24:31.150027","3.12.1","host","USB","72","","0000120000000000","URB_INTERRUPT in"
"1369","2026-06-12 20:24:31.206026","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"1425","2026-06-12 20:24:31.350024","3.12.1","host","USB","72","","00000e0000000000","URB_INTERRUPT in"
"1447","2026-06-12 20:24:31.406023","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"1671","2026-06-12 20:24:31.998015","3.12.1","host","USB","72","","2000000000000000","URB_INTERRUPT in"
"1781","2026-06-12 20:24:32.286011","3.12.1","host","USB","72","","20002d0000000000","URB_INTERRUPT in"
"1831","2026-06-12 20:24:32.414012","3.12.1","host","USB","72","","2000000000000000","URB_INTERRUPT in"
"1853","2026-06-12 20:24:32.470008","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"1975","2026-06-12 20:24:32.790005","3.12.1","host","USB","72","","0000040000000000","URB_INTERRUPT in"
"2009","2026-06-12 20:24:32.870002","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"2055","2026-06-12 20:24:32.990001","3.12.1","host","USB","72","","0000170000000000","URB_INTERRUPT in"
"2081","2026-06-12 20:24:33.054000","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"2179","2026-06-12 20:24:33.309997","3.12.1","host","USB","72","","2000000000000000","URB_INTERRUPT in"
"2251","2026-06-12 20:24:33.493993","3.12.1","host","USB","72","","20002d0000000000","URB_INTERRUPT in"
"2313","2026-06-12 20:24:33.653991","3.12.1","host","USB","72","","2000000000000000","URB_INTERRUPT in"
"2329","2026-06-12 20:24:33.693991","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"2455","2026-06-12 20:24:34.021985","3.12.1","host","USB","72","","0000100000000000","URB_INTERRUPT in"
"2483","2026-06-12 20:24:34.093985","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"2515","2026-06-12 20:24:34.173983","3.12.1","host","USB","72","","0000080000000000","URB_INTERRUPT in"
"2551","2026-06-12 20:24:34.261984","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"2741","2026-06-12 20:24:34.765975","3.12.1","host","USB","72","","2000000000000000","URB_INTERRUPT in"
"2837","2026-06-12 20:24:35.014005","3.12.1","host","USB","72","","20002d0000000000","URB_INTERRUPT in"
"2903","2026-06-12 20:24:35.189970","3.12.1","host","USB","72","","2000000000000000","URB_INTERRUPT in"
"2921","2026-06-12 20:24:35.229969","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"3079","2026-06-12 20:24:35.645964","3.12.1","host","USB","72","","0000170000000000","URB_INTERRUPT in"
"3108","2026-06-12 20:24:35.717959","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
